Day,Count of Incident Infections,Count of Potential Exposures Prevented by Masking,Susceptible,Exposed,Infective,Recovered,Vaccinated,VaccinatedRecovered,Dead
0,0,0,980,20,0,0,0,0,0
1,0,0,980,20,0,0,0,0,0
2,15,3,980,20,0,0,0,0,0
3,4,1,965,15,17,3,0,0,0
4,13,2,961,19,16,3,0,0,1
5,17,16,948,17,30,4,0,0,1
6,20,6,931,30,31,7,0,0,1
7,25,13,911,37,42,9,0,0,1
8,24,23,886,45,55,13,0,0,1
9,34,20,862,49,71,16,0,0,2
10,26,35,828,58,92,20,0,0,2
11,42,27,802,60,107,29,0,0,2
12,31,31,760,68,129,41,0,0,2
13,54,58,729,73,144,50,0,0,4
14,53,48,675,85,171,61,0,0,8
15,40,54,622,107,182,78,0,0,11
16,57,72,582,94,221,90,0,0,13
17,71,73,525,100,252,109,0,0,14
18,62,70,454,131,277,121,0,0,17
19,60,92,392,135,307,148,0,0,18
20,51,87,332,126,355,166,0,0,21
21,41,99,281,116,391,190,0,0,22
22,45,120,240,95,426,213,0,0,26
23,34,120,195,88,452,234,0,0,31
24,21,135,161,82,460,265,0,0,32
25,33,118,140,58,462,297,0,0,43
26,24,136,107,57,461,330,0,0,45
27,15,119,83,61,444,364,0,0,48
28,16,143,68,50,444,382,0,0,56
29,11,132,52,43,429,416,0,0,60
30,4,140,41,34,420,440,0,0,65
31,6,154,37,28,408,459,0,0,68
32,5,129,31,25,397,474,0,0,73
33,5,133,26,24,383,492,0,0,75
34,3,130,21,32,369,499,0,0,79
35,1,140,18,36,355,510,0,0,81
36,3,139,17,33,341,524,0,0,85
37,1,111,14,30,334,535,0,0,87
38,1,122,13,23,333,541,0,0,90
39,2,125,12,26,313,557,0,0,92
40,0,130,10,25,302,569,0,0,94
41,0,121,10,16,296,581,0,0,97
42,0,129,10,17,281,589,0,0,103
43,2,99,10,25,271,590,0,0,104
44,1,107,8,29,259,598,0,0,106
45,2,125,7,25,258,600,0,0,110
46,0,114,5,28,250,603,0,0,114
47,1,94,5,24,239,616,0,0,116
48,0,108,4,24,239,617,0,0,116
49,0,110,4,33,229,618,0,0,116
50,0,112,4,24,238,616,0,0,118
51,0,120,4,22,239,617,0,0,118
52,1,98,4,35,214,627,0,0,120
53,0,111,3,40,197,638,0,0,122
54,1,94,3,31,199,643,0,0,124
55,0,96,2,21,208,644,0,0,125
56,0,90,2,19,200,652,0,0,127
57,0,76,2,22,190,653,0,0,133
58,0,77,2,26,179,657,0,0,136
59,0,79,2,27,177,657,0,0,137
60,0,80,2,31,177,652,0,0,138
61,0,69,2,40,178,641,0,0,139
62,0,62,2,36,171,651,0,0,140
63,0,72,2,26,180,651,0,0,141
64,0,103,2,27,175,652,0,0,144
65,0,76,2,32,175,646,0,0,145
66,0,86,2,35,176,639,0,0,148
67,0,94,2,39,177,634,0,0,148
68,0,76,2,33,174,643,0,0,148
69,0,82,2,38,185,627,0,0,148
70,0,101,2,43,183,623,0,0,149
71,0,79,2,35,197,614,0,0,152
72,0,111,2,42,202,602,0,0,152
73,0,76,2,47,206,593,0,0,152
74,0,79,2,46,212,585,0,0,155
75,0,74,2,52,213,578,0,0,155
76,0,82,2,50,218,574,0,0,156
77,0,77,2,46,225,567,0,0,160
78,0,89,2,51,224,561,0,0,162
79,0,88,2,53,230,549,0,0,166
80,0,93,2,51,229,549,0,0,169
81,0,89,2,50,232,546,0,0,170
82,1,98,2,61,245,520,0,0,172
83,1,81,1,60,248,518,0,0,173
84,0,79,0,52,264,507,0,0,177
85,0,114,0,53,259,510,0,0,178
86,0,76,0,54,262,504,0,0,180
87,0,94,0,58,262,496,0,0,184
88,0,97,0,61,264,489,0,0,186
89,0,81,0,65,270,478,0,0,187
90,0,69,0,66,282,462,0,0,190
91,0,86,0,66,293,447,0,0,194
92,0,83,0,66,303,436,0,0,195
93,0,83,0,62,319,420,0,0,199
94,0,83,0,62,311,423,0,0,204
95,0,103,0,69,315,410,0,0,206
96,0,91,0,70,326,395,0,0,209
97,0,85,0,63,338,384,0,0,215
98,0,88,0,71,333,377,0,0,219
99,0,83,0,75,337,367,0,0,221
100,0,97,0,71,353,352,0,0,224
101,0,72,0,55,361,357,0,0,227
102,0,70,0,62,363,343,0,0,232
103,0,61,0,76,356,333,0,0,235
104,0,75,0,67,371,325,0,0,237
105,0,97,0,77,372,310,0,0,241
106,0,63,0,78,373,302,0,0,247
107,0,87,0,70,379,300,0,0,251
108,0,76,0,79,383,283,0,0,255
109,0,72,0,78,386,280,0,0,256
110,0,68,0,71,403,267,0,0,259
111,0,79,0,72,401,265,0,0,262
112,0,68,0,65,413,255,0,0,267
113,0,63,0,68,416,245,0,0,271
114,0,66,0,71,404,250,0,0,275
115,0,82,0,61,412,251,0,0,276
116,0,76,0,56,422,245,0,0,277
117,0,64,0,60,429,231,0,0,280
118,0,60,0,73,421,223,0,0,283
119,0,57,0,68,427,218,0,0,287
120,0,86,0,58,437,212,0,0,293
121,0,67,0,63,430,210,0,0,297
122,0,76,0,59,430,210,0,0,301
123,0,57,0,65,426,204,0,0,305
